ID,paid,activities,nursery,higher,internet,romantic,famrel,freetime,goout,Dalc,Walc,health,absences,G1,G2,G3
367,yes,no,yes,yes,yes,yes,4,2,2,2,2,5,0,13,13,13
368,yes,no,yes,yes,yes,yes,5,2,1,1,2,1,0,7,6,0
369,yes,no,yes,yes,yes,yes,5,2,3,1,2,4,0,11,10,10
370,yes,no,no,yes,yes,yes,3,2,2,4,2,5,10,14,12,11
371,no,yes,yes,yes,no,yes,3,2,2,1,1,3,4,7,7,9
372,yes,yes,yes,no,yes,yes,4,3,3,2,3,3,3,14,12,12
373,no,yes,yes,yes,no,yes,3,4,3,1,1,3,8,13,11,11
374,no,yes,yes,yes,yes,no,3,5,5,1,3,1,14,6,5,5
375,no,no,yes,yes,yes,no,5,4,4,1,1,1,0,19,18,19
376,no,no,yes,yes,yes,no,4,3,2,1,2,4,2,8,8,10
377,yes,no,no,yes,yes,yes,5,4,3,1,1,3,4,15,14,15
378,yes,yes,yes,yes,yes,no,5,4,3,3,4,2,4,8,9,10
379,yes,no,yes,yes,yes,yes,4,1,3,1,2,1,0,15,15,15
380,yes,yes,no,yes,yes,no,4,5,4,2,3,1,17,10,10,10
381,yes,yes,no,yes,yes,no,3,2,4,1,4,2,4,15,14,14
382,no,yes,no,yes,yes,yes,4,4,3,1,3,5,5,7,6,7
383,no,yes,yes,yes,yes,no,4,4,3,1,1,3,2,11,11,10
384,no,no,yes,yes,no,no,4,3,2,1,3,5,0,6,5,0
385,yes,no,yes,yes,no,no,5,4,3,4,3,3,14,6,5,5
386,yes,no,yes,yes,no,no,5,3,3,1,3,4,2,10,9,10
387,yes,yes,yes,yes,yes,yes,4,4,3,2,2,5,7,6,5,6
388,no,yes,no,yes,yes,no,5,4,2,1,2,5,0,7,5,0
389,yes,no,yes,yes,yes,no,4,3,4,1,1,1,0,7,9,8
390,no,yes,yes,yes,no,no,1,1,1,1,1,5,0,6,5,0
391,yes,no,yes,yes,no,no,5,5,4,4,5,4,11,9,9,9
392,no,no,no,yes,yes,no,2,4,5,3,4,2,3,14,16,16
393,no,no,no,yes,no,no,5,5,3,3,3,3,3,10,8,7
394,no,no,no,yes,yes,no,4,4,1,3,4,5,0,11,12,10
395,no,no,yes,yes,yes,no,3,2,3,3,3,5,5,8,9,9
