ID,school,sex,age,address,famsize,Pstatus,Medu,Fedu,Mjob,Fjob,reason,guardian,traveltime,studytime,failures,schoolsup,famsup
331,GP,M,18,U,LE3,T,2,2,other,other,course,mother,1,4,0,no,yes
332,GP,F,17,R,GT3,T,2,4,at_home,other,course,father,1,3,0,no,yes
333,GP,F,18,U,GT3,T,3,3,services,services,home,mother,1,2,0,no,no
334,GP,F,18,U,LE3,T,2,2,other,other,home,other,1,2,0,no,no
335,GP,F,18,R,GT3,T,2,2,at_home,other,course,mother,2,4,0,no,no
336,GP,F,17,U,GT3,T,3,4,services,other,course,mother,1,3,0,no,no
337,GP,F,19,R,GT3,A,3,1,services,at_home,home,other,1,3,1,no,no
338,GP,F,17,U,GT3,T,3,2,other,other,home,mother,1,2,0,no,yes
339,GP,F,18,U,LE3,T,3,3,services,services,home,mother,1,4,0,no,yes
340,GP,F,17,R,GT3,A,3,2,other,other,home,mother,1,2,0,no,yes
341,GP,F,19,U,GT3,T,2,1,services,services,home,other,1,3,1,no,no
342,GP,M,18,U,GT3,T,4,4,teacher,services,home,father,1,2,1,no,yes
343,GP,M,18,U,LE3,T,3,4,services,other,home,mother,1,2,0,no,no
344,GP,F,17,U,GT3,A,2,2,at_home,at_home,home,father,1,2,1,no,yes
345,GP,F,18,U,GT3,T,2,3,at_home,other,course,mother,1,3,0,no,yes
346,GP,F,18,U,GT3,T,3,2,other,services,other,mother,1,3,0,no,no
347,GP,M,18,R,GT3,T,4,3,teacher,services,course,mother,1,3,0,no,no
348,GP,M,18,U,GT3,T,4,3,teacher,other,course,mother,1,3,0,no,yes
349,GP,F,17,Urban,GT3,T,4,3,health,other,reputation,mother,1,3,0,no,yes
350,MS,M,18,R,GT3,T,3,2,other,other,course,mother,2,1,1,no,yes
351,MS,M,19,R,GT3,T,1,1,other,services,home,other,3,2,3,no,no
352,MS,M,17,U,GT3,T,3,3,health,other,course,mother,2,2,0,no,yes
353,MS,M,18,U,LE3,T,1,3,at_home,services,course,mother,1,1,1,no,no
354,MS,M,19,R,GT3,T,1,1,other,other,home,other,3,1,1,no,yes
355,MS,M,17,R,GT3,T,4,3,services,other,home,mother,2,2,0,no,yes
356,MS,F,18,U,GT3,T,3,3,services,services,course,father,1,2,0,no,yes
357,MS,F,17,R,GT3,T,4,4,teacher,services,other,father,2,2,0,no,yes
358,MS,F,17,U,LE3,A,3,2,services,other,reputation,mother,2,2,0,no,no
359,MS,M,18,U,LE3,T,1,1,other,services,home,father,2,1,0,no,no
360,MS,F,18,U,LE3,T,1,1,at_home,services,course,father,2,3,0,no,no
361,MS,F,18,R,LE3,A,1,4,at_home,other,course,mother,3,2,0,no,no
362,MS,M,18,R,LE3,T,1,1,at_home,other,other,mother,2,2,1,no,no
363,MS,F,18,U,GT3,T,3,3,services,services,other,mother,2,2,0,no,yes
364,MS,F,17,U,LE3,T,4,4,at_home,at_home,course,mother,1,2,0,no,yes
365,MS,F,17,R,GT3,T,1,2,other,services,course,father,2,2,0,no,no
366,MS,M,18,R,GT3,T,1,3,at_home,other,course,mother,2,2,0,no,yes
367,MS,M,18,U,LE3,T,4,4,teacher,services,other,mother,2,3,0,no,no
368,MS,F,17,R,GT3,T,1,1,other,services,reputation,mother,3,1,1,no,yes
369,MS,F,18,U,GT3,T,2,3,at_home,services,course,father,2,1,0,no,yes
370,MS,F,18,R,GT3,T,4,4,other,teacher,other,father,3,2,0,no,yes
371,MS,F,19,U,LE3,T,3,2,services,services,home,other,2,2,2,no,no
372,MS,M,18,R,LE3,T,1,2,at_home,services,other,father,3,1,0,no,yes
373,MS,F,17,U,GT3,T,2,2,other,at_home,home,mother,1,3,0,no,no
374,MS,F,17,R,GT3,T,1,2,other,other,course,mother,1,1,0,no,no
375,MS,F,18,R,LE3,T,4,4,other,other,reputation,mother,2,3,0,no,no
376,MS,F,18,R,GT3,T,1,1,other,other,home,mother,4,3,0,no,no
377,MS,F,20,U,GT3,T,4,2,health,other,course,other,2,3,2,no,yes
378,MS,F,18,R,LE3,T,4,4,teacher,services,course,mother,1,2,0,no,no
379,MS,F,18,U,GT3,T,3,3,other,other,home,mother,1,2,0,no,no
380,MS,F,17,R,GT3,T,3,1,at_home,other,reputation,mother,1,2,0,no,yes
381,MS,M,18,U,GT3,T,4,4,teacher,teacher,home,father,1,2,0,no,no
382,MS,M,18,R,GT3,T,2,1,other,other,other,mother,2,1,0,no,no
383,MS,M,17,U,GT3,T,2,3,other,services,home,father,2,2,0,no,no
384,MS,M,19,R,GT3,T,1,1,other,services,other,mother,2,1,1,no,no
385,MS,M,18,R,GT3,T,4,2,other,other,home,father,2,1,1,no,no
386,MS,F,18,R,GT3,T,2,2,at_home,other,other,mother,2,3,0,no,no
387,MS,F,18,R,GT3,T,4,4,teacher,at_home,reputation,mother,3,1,0,no,yes
388,MS,F,19,R,GT3,T,2,3,services,other,course,mother,1,3,1,no,no
389,MS,F,18,U,LE3,T,3,1,teacher,services,course,mother,1,2,0,no,yes
390,MS,F,18,U,GT3,T,1,1,other,other,course,mother,2,2,1,no,no
391,MS,M,20,U,LE3,A,2,2,services,services,course,other,1,2,2,no,yes
392,MS,M,17,U,LE3,T,3,1,services,services,course,mother,2,1,0,no,no
393,MS,M,21,R,GT4,T,1,1,other,other,course,other,1,1,3,no,no
394,MS,M,18,R,LE3,T,3,2,services,other,course,mother,3,1,0,no,no
395,MS,M,19,U,LE3,T,1,1,other,at_home,course,fathar,1,1,0,no,no
